Comparison,Binary Accuracy,3class Accuracy,Mean Diff,Conover p (Holm-adj)
Participant vs spaCy,0.6186813186813187,0.44285714285714284,0.2663,1.5214028270589553e-152
Participant vs nltk,0.6743589743589744,0.5333333333333333,-0.0084,1.0
Participant vs nlptown,0.6765567765567766,0.5498168498168499,-0.1923,1.3759085100394677e-80
Participant vs cardiff,0.7322344322344322,0.5791208791208792,0.0004,1.0
Participant vs tabmulti,0.6666666666666666,0.49413919413919416,-0.0007,1.0
Participant vs hartmann,0.7161172161172161,0.4970695970695971,-0.0004,1.0
Participant vs bhadresh,0.6747252747252748,0.5036630036630036,-0.0513,3.96454716490973e-06
