Comparison,Accuracy,Mean Diff,Conover p (Holm-adj)
Participant vs spaCy,0.44285714285714284,0.1106,5.220929809194974e-15
Participant vs nltk,0.5333333333333333,0.0172,0.3086168364506291
Participant vs nlptown,0.5498168498168499,-0.1377,7.600125841172923e-17
Participant vs cardiff,0.5791208791208792,0.0835,8.34541612055063e-06
Participant vs tabmulti,0.49413919413919416,0.1626,2.558772335961122e-21
Participant vs hartmann,0.4970695970695971,0.2963,1.799279605184637e-57
Participant vs bhadresh,0.5036630036630036,0.1425,2.766511472028152e-13
