,spaCy,NLTK,nlptown,Cardiff,tabmulti,Hartmann,Bhadresh
spaCy,1.0,0.0,0.0,0.0,0.0004,0.0005,0.0001
NLTK,0.0,1.0,0.1536,0.0,0.0005,0.0012,0.0077
nlptown,0.0,0.1536,1.0,0.0048,0.0,0.0,0.0
Cardiff,0.0,0.0,0.0048,1.0,0.0,0.0,0.0
tabmulti,0.0004,0.0005,0.0,0.0,1.0,0.8026,0.3725
Hartmann,0.0005,0.0012,0.0,0.0,0.8026,1.0,0.4891
Bhadresh,0.0001,0.0077,0.0,0.0,0.3725,0.4891,1.0
