,spaCy,NLTK,nlptown,Cardiff,tabmulti,Hartmann,Bhadresh
spaCy,1.0,0.0,0.0,0.0,0.0039,0.0044,0.0006
NLTK,0.0,1.0,0.6146,0.0001,0.0044,0.0085,0.0385
nlptown,0.0,0.6146,1.0,0.0287,0.0,0.0,0.0001
Cardiff,0.0,0.0001,0.0287,1.0,0.0,0.0,0.0
tabmulti,0.0039,0.0044,0.0,0.0,1.0,1.0,1.0
Hartmann,0.0044,0.0085,0.0,0.0,1.0,1.0,1.0
Bhadresh,0.0006,0.0385,0.0001,0.0,1.0,1.0,1.0
