Comparison,Binary Accuracy,3class Accuracy,mean dif,Measure Avg,Test Statistic,p-value
Emotion - spaCy,0.6186813186813187,0.44285714285714284,0.2663,0.1769,-20.327499830822326,0.0
Emotion - nltk,0.6743589743589744,0.5333333333333333,-0.0084,0.4516,0.6430983440287689,0.9897973910396535
Emotion - nlptown,0.6765567765567766,0.5498168498168499,-0.1923,0.6355,14.679418722395765,0.0
Emotion - cardiff,0.7322344322344322,0.5791208791208792,0.0004,0.4429,-0.027960797566468024,0.9999999999996732
Emotion - tabmulti,0.6666666666666666,0.49413919413919416,-0.0007,0.444,0.05592159513293605,0.9999999999167951
Emotion - hartmann,0.7161172161172161,0.4970695970695971,-0.0004,0.4436,0.027960797566468024,0.9999999999996732
Emotion - bhadresh,0.6776556776556777,0.49304029304029307,-0.0923,0.5355,7.046120986749968,1.5336398817566987e-11
