Comparison,Accuracy,mean dif,Measure Avg,Test Statistic,p-value
Emotion - spaCy,0.44285714285714284,0.1106,2.137,-4.956689807127469,4.370517308283084e-06
Emotion - nltk,0.5333333333333333,0.0172,2.2304,-0.7714053673344042,0.9697696247239533
Emotion - nlptown,0.5498168498168499,-0.1377,2.3853,6.171242938675254,5.3100226438118625e-09
Emotion - cardiff,0.5791208791208792,0.0835,2.1641,-3.742136675579683,0.0013468628000645744
Emotion - tabmulti,0.49413919413919416,0.1626,2.085,-7.287318789286733,1.1964873536385312e-12
Emotion - hartmann,0.4970695970695971,0.2963,1.9513,-13.278020046245434,0.0
Emotion - bhadresh,0.49304029304029307,0.1659,2.0817,-7.435034710691193,1.0891287871572786e-12
