Model,baseline_f1,sens_mean,sens_std,sens_min,sens_max,sens_2.5%,sens_97.5%
Hartmann,0.4741,0.473,0.0041,0.4639,0.4846,0.466,0.481
Bhadresh,0.4557,0.4557,0.0,0.4557,0.4557,0.4557,0.4557
